,0
cat__CustomerId_CustomerId_1125,5.501299577241557e-05
cat__CustomerId_CustomerId_1127,0.0
cat__CustomerId_CustomerId_1130,5.575361885314411e-09
cat__CustomerId_CustomerId_1134,1.3270809418552837e-05
cat__CustomerId_CustomerId_1135,0.0
cat__CustomerId_CustomerId_1137,9.019663741036764e-06
cat__CustomerId_CustomerId_1140,1.5445707115957807e-06
cat__CustomerId_CustomerId_1141,2.092383538611633e-10
cat__CustomerId_CustomerId_1145,1.2656333107108664e-05
cat__CustomerId_CustomerId_1146,8.47113408951388e-09
cat__CustomerId_CustomerId_1147,0.0
cat__CustomerId_CustomerId_1150,1.4755349468015981e-05
cat__CustomerId_CustomerId_1153,4.618274561127501e-06
cat__CustomerId_CustomerId_1154,5.54700065534075e-08
cat__CustomerId_CustomerId_1156,9.144877868144146e-06
cat__CustomerId_CustomerId_1158,1.6113850897134666e-06
cat__CustomerId_CustomerId_1159,2.0228556355097698e-09
cat__CustomerId_CustomerId_1160,0.0
cat__CustomerId_CustomerId_1161,1.0420526559532898e-05
cat__CustomerId_CustomerId_1162,1.59906587625732e-08
cat__CustomerId_CustomerId_1163,7.476633845452186e-10
cat__CustomerId_CustomerId_1164,4.4832401920539856e-07
cat__CustomerId_CustomerId_1169,3.7501155074418127e-06
cat__CustomerId_CustomerId_1170,1.2315221166680034e-05
cat__CustomerId_CustomerId_1171,5.7480616295122115e-06
cat__CustomerId_CustomerId_1172,9.946576267892216e-08
cat__CustomerId_CustomerId_1174,1.1572556456830504e-07
cat__CustomerId_CustomerId_1175,2.8007505100559615e-08
cat__CustomerId_CustomerId_1177,1.39215747817317e-06
cat__CustomerId_CustomerId_1180,0.0
cat__CustomerId_CustomerId_1182,2.1114754996054695e-08
cat__CustomerId_CustomerId_1183,1.5534456634094094e-08
cat__CustomerId_CustomerId_1184,8.417472783510007e-06
cat__CustomerId_CustomerId_1187,1.820558473191437e-09
cat__CustomerId_CustomerId_1189,3.290686073527302e-05
cat__CustomerId_CustomerId_1190,3.570760470572066e-06
cat__CustomerId_CustomerId_1191,2.687463708419502e-08
cat__CustomerId_CustomerId_1192,9.37823228624884e-07
cat__CustomerId_CustomerId_1193,2.3687716843929524e-06
cat__CustomerId_CustomerId_1194,3.474031647850372e-06
cat__CustomerId_CustomerId_1195,1.0798612201541983e-06
cat__CustomerId_CustomerId_1196,2.6898783378681398e-05
cat__CustomerId_CustomerId_1197,1.5709374948873183e-05
cat__CustomerId_CustomerId_1198,3.1465988005868544e-07
cat__CustomerId_CustomerId_12,4.856531190745432e-06
cat__CustomerId_CustomerId_1200,9.938373864816418e-07
cat__CustomerId_CustomerId_1201,0.0
cat__CustomerId_CustomerId_1202,0.0
cat__CustomerId_CustomerId_1203,0.0
cat__CustomerId_CustomerId_1208,2.253291940810669e-05
cat__CustomerId_CustomerId_1209,5.174259481537491e-06
cat__CustomerId_CustomerId_1210,1.983726880649235e-09
cat__CustomerId_CustomerId_1211,1.4857967658009108e-06
cat__CustomerId_CustomerId_1212,3.479623253405363e-05
cat__CustomerId_CustomerId_1214,0.0
cat__CustomerId_CustomerId_1215,4.2598161694882624e-07
cat__CustomerId_CustomerId_1217,3.907754309225664e-06
cat__CustomerId_CustomerId_1219,4.474365514422419e-06
cat__CustomerId_CustomerId_1220,4.361620008867628e-06
cat__CustomerId_CustomerId_1222,6.13174260542035e-06
cat__CustomerId_CustomerId_1223,2.574249567514814e-08
cat__CustomerId_CustomerId_1225,3.090028174858258e-05
cat__CustomerId_CustomerId_1226,6.537489901358721e-05
cat__CustomerId_CustomerId_1227,5.567790076349228e-06
cat__CustomerId_CustomerId_1229,8.136836346363974e-06
cat__CustomerId_CustomerId_1231,0.00011753875982811473
cat__CustomerId_CustomerId_1232,3.3178364411261044e-07
cat__CustomerId_CustomerId_1233,1.9904960156111506e-08
cat__CustomerId_CustomerId_1234,2.389840195916703e-05
cat__CustomerId_CustomerId_1235,6.3745318089573225e-06
cat__CustomerId_CustomerId_1236,9.285237961753621e-06
cat__CustomerId_CustomerId_1237,3.6200079019938473e-06
cat__CustomerId_CustomerId_1238,7.911175821263706e-06
cat__CustomerId_CustomerId_1240,2.1121281958077352e-05
cat__CustomerId_CustomerId_1241,0.0
cat__CustomerId_CustomerId_1244,1.0239604777093115e-06
cat__CustomerId_CustomerId_1245,3.24786746952027e-07
cat__CustomerId_CustomerId_1247,0.0
cat__CustomerId_CustomerId_1250,7.98966211963301e-07
cat__CustomerId_CustomerId_1252,1.6200901324828058e-07
cat__CustomerId_CustomerId_1256,1.468800105019852e-05
cat__CustomerId_CustomerId_1257,2.5135834769381114e-05
cat__CustomerId_CustomerId_1258,7.225898066926321e-07
cat__CustomerId_CustomerId_1259,1.717938300883784e-05
cat__CustomerId_CustomerId_1260,0.0
cat__CustomerId_CustomerId_1263,0.0
cat__CustomerId_CustomerId_1265,5.804592002056057e-07
cat__CustomerId_CustomerId_1266,2.7242376323554015e-05
cat__CustomerId_CustomerId_1267,3.026450811227304e-06
cat__CustomerId_CustomerId_1268,1.3786167317886421e-08
cat__CustomerId_CustomerId_1269,1.888516085529587e-05
cat__CustomerId_CustomerId_1270,3.1763669084014055e-06
cat__CustomerId_CustomerId_1272,1.1842562775664801e-07
cat__CustomerId_CustomerId_1273,3.8679774500285095e-08
cat__CustomerId_CustomerId_1274,9.086877367652528e-05
cat__CustomerId_CustomerId_1275,0.0
cat__CustomerId_CustomerId_1276,0.0
cat__CustomerId_CustomerId_1277,1.0675255191744736e-06
cat__CustomerId_CustomerId_1279,6.4446979484572335e-06
cat__CustomerId_CustomerId_1280,4.6620012848691875e-08
cat__CustomerId_CustomerId_1282,0.0
cat__CustomerId_CustomerId_1283,1.383160930491719e-05
cat__CustomerId_CustomerId_1285,1.7226418254030366e-05
cat__CustomerId_CustomerId_1286,1.2701728575337215e-05
cat__CustomerId_CustomerId_1288,4.518815726651255e-08
cat__CustomerId_CustomerId_1294,3.686890744984271e-05
cat__CustomerId_CustomerId_1295,2.3497942669008616e-05
cat__CustomerId_CustomerId_1296,0.0
cat__CustomerId_CustomerId_1297,1.1710888599782667e-05
cat__CustomerId_CustomerId_1298,4.5656813426346344e-08
cat__CustomerId_CustomerId_1299,1.6741587086797646e-08
cat__CustomerId_CustomerId_1300,4.469341014908609e-07
cat__CustomerId_CustomerId_1302,0.0
cat__CustomerId_CustomerId_1303,0.0
cat__CustomerId_CustomerId_1306,3.939796826098845e-05
cat__CustomerId_CustomerId_1307,0.0
cat__CustomerId_CustomerId_1308,1.6571972930151965e-05
cat__CustomerId_CustomerId_1310,2.0304547091641412e-07
cat__CustomerId_CustomerId_1311,9.795889408360209e-10
cat__CustomerId_CustomerId_1312,1.0091656831333352e-05
cat__CustomerId_CustomerId_1313,0.0
cat__CustomerId_CustomerId_1316,7.926393262404161e-06
cat__CustomerId_CustomerId_1317,0.0
cat__CustomerId_CustomerId_1318,3.313437207918289e-05
cat__CustomerId_CustomerId_1321,5.457038712317659e-06
cat__CustomerId_CustomerId_1322,4.527555386605019e-06
cat__CustomerId_CustomerId_1323,3.895502904720003e-06
cat__CustomerId_CustomerId_1324,0.0
cat__CustomerId_CustomerId_1326,2.8427410955228076e-05
cat__CustomerId_CustomerId_1329,3.559614893559994e-07
cat__CustomerId_CustomerId_1330,9.009406089674056e-09
cat__CustomerId_CustomerId_1332,1.134630255210521e-05
cat__CustomerId_CustomerId_1335,1.1034841482039623e-09
cat__CustomerId_CustomerId_1338,7.78440377694009e-06
cat__CustomerId_CustomerId_1339,5.77722846815654e-09
cat__CustomerId_CustomerId_1343,7.378234128516857e-08
cat__CustomerId_CustomerId_1349,1.1170319419453932e-06
cat__CustomerId_CustomerId_1351,2.785649061821257e-05
cat__CustomerId_CustomerId_1353,0.0
cat__CustomerId_CustomerId_1355,4.158938607946211e-06
cat__CustomerId_CustomerId_1356,5.576935175609089e-07
cat__CustomerId_CustomerId_1357,5.159121749465408e-07
cat__CustomerId_CustomerId_1358,2.052763557717602e-06
cat__CustomerId_CustomerId_1359,1.0985311111453528e-06
cat__CustomerId_CustomerId_1360,9.504576518878426e-06
cat__CustomerId_CustomerId_1361,6.596570477753566e-07
cat__CustomerId_CustomerId_1363,1.2966790732348484e-06
cat__CustomerId_CustomerId_1365,2.5432001510066604e-05
cat__CustomerId_CustomerId_1366,3.735926533669835e-07
cat__CustomerId_CustomerId_1367,0.0
cat__CustomerId_CustomerId_1370,1.918947051990707e-05
cat__CustomerId_CustomerId_1372,9.94504576442167e-06
cat__CustomerId_CustomerId_1373,3.926143377407574e-05
cat__CustomerId_CustomerId_1375,9.684631348206116e-06
cat__CustomerId_CustomerId_1376,7.685749642788059e-05
cat__CustomerId_CustomerId_1377,1.1567929686227397e-05
cat__CustomerId_CustomerId_1379,2.8448328589567204e-07
cat__CustomerId_CustomerId_1381,1.506665575527306e-05
cat__CustomerId_CustomerId_1382,1.655151636873679e-06
cat__CustomerId_CustomerId_1384,3.6649968889592265e-06
cat__CustomerId_CustomerId_1385,6.292106834705825e-07
cat__CustomerId_CustomerId_1386,6.609439349354111e-06
cat__CustomerId_CustomerId_1387,7.514366159774256e-08
cat__CustomerId_CustomerId_1389,1.6318524236419125e-05
cat__CustomerId_CustomerId_1390,8.914019977940549e-08
cat__CustomerId_CustomerId_1392,5.838850485831786e-06
