,0
cat__CustomerId_CustomerId_1170,0.0
cat__CustomerId_CustomerId_1171,0.0
cat__CustomerId_CustomerId_1172,0.0
cat__CustomerId_CustomerId_1174,0.0
cat__CustomerId_CustomerId_1175,0.0
cat__CustomerId_CustomerId_1177,0.0
cat__CustomerId_CustomerId_1180,0.0
cat__CustomerId_CustomerId_1182,0.0
cat__CustomerId_CustomerId_1183,0.0
cat__CustomerId_CustomerId_1184,0.0
cat__CustomerId_CustomerId_1187,0.0
cat__CustomerId_CustomerId_1189,0.0
cat__CustomerId_CustomerId_1190,0.0
cat__CustomerId_CustomerId_1191,0.0
cat__CustomerId_CustomerId_1192,0.0
cat__CustomerId_CustomerId_1193,0.0
cat__CustomerId_CustomerId_1194,0.0
cat__CustomerId_CustomerId_1195,0.0
cat__CustomerId_CustomerId_1196,0.0
cat__CustomerId_CustomerId_1197,0.0
cat__CustomerId_CustomerId_1198,0.0
cat__CustomerId_CustomerId_12,0.0
cat__CustomerId_CustomerId_1200,0.0
cat__CustomerId_CustomerId_1201,0.0
cat__CustomerId_CustomerId_1202,0.0
cat__CustomerId_CustomerId_1203,0.0
cat__CustomerId_CustomerId_1208,0.0
cat__CustomerId_CustomerId_1209,0.0
cat__CustomerId_CustomerId_1210,0.0
cat__CustomerId_CustomerId_1211,0.0
cat__CustomerId_CustomerId_1212,0.0
cat__CustomerId_CustomerId_1214,0.0
cat__CustomerId_CustomerId_1215,0.0
cat__CustomerId_CustomerId_1217,0.0
cat__CustomerId_CustomerId_1219,0.0
cat__CustomerId_CustomerId_1220,0.0
cat__CustomerId_CustomerId_1222,0.0
cat__CustomerId_CustomerId_1223,0.0
cat__CustomerId_CustomerId_1225,0.0
cat__CustomerId_CustomerId_1226,6.33220195589214e-05
cat__CustomerId_CustomerId_1227,0.0
cat__CustomerId_CustomerId_1229,0.0
cat__CustomerId_CustomerId_1231,0.0007928235949922995
cat__CustomerId_CustomerId_1232,0.0
cat__CustomerId_CustomerId_1233,0.0
cat__CustomerId_CustomerId_1234,0.0
cat__CustomerId_CustomerId_1235,0.0
cat__CustomerId_CustomerId_1236,0.0
cat__CustomerId_CustomerId_1237,0.0
cat__CustomerId_CustomerId_1238,0.0
cat__CustomerId_CustomerId_1240,0.0
cat__CustomerId_CustomerId_1241,0.0
cat__CustomerId_CustomerId_1244,0.0
cat__CustomerId_CustomerId_1245,0.0
cat__CustomerId_CustomerId_1247,0.0
cat__CustomerId_CustomerId_1250,0.0
cat__CustomerId_CustomerId_1252,0.0
cat__CustomerId_CustomerId_1256,0.0
cat__CustomerId_CustomerId_1257,0.0
cat__CustomerId_CustomerId_1258,0.0
cat__CustomerId_CustomerId_1259,0.0
cat__CustomerId_CustomerId_1260,0.0
cat__CustomerId_CustomerId_1263,0.0
cat__CustomerId_CustomerId_1265,0.0
cat__CustomerId_CustomerId_1266,0.0
cat__CustomerId_CustomerId_1267,0.0
cat__CustomerId_CustomerId_1268,0.0
cat__CustomerId_CustomerId_1269,0.0
cat__CustomerId_CustomerId_1270,0.0
cat__CustomerId_CustomerId_1272,0.0
cat__CustomerId_CustomerId_1273,0.0
cat__CustomerId_CustomerId_1274,0.0
cat__CustomerId_CustomerId_1275,0.0
cat__CustomerId_CustomerId_1276,0.0
cat__CustomerId_CustomerId_1277,0.0
cat__CustomerId_CustomerId_1279,0.0
cat__CustomerId_CustomerId_1280,0.0
cat__CustomerId_CustomerId_1282,0.0
cat__CustomerId_CustomerId_1283,0.0
cat__CustomerId_CustomerId_1285,0.0
cat__CustomerId_CustomerId_1286,0.0
cat__CustomerId_CustomerId_1288,0.0
cat__CustomerId_CustomerId_1294,0.0
cat__CustomerId_CustomerId_1295,0.0
cat__CustomerId_CustomerId_1296,0.0
cat__CustomerId_CustomerId_1297,0.0
cat__CustomerId_CustomerId_1298,0.0
cat__CustomerId_CustomerId_1299,0.0
cat__CustomerId_CustomerId_1300,0.0
cat__CustomerId_CustomerId_1302,0.0
cat__CustomerId_CustomerId_1303,0.0
cat__CustomerId_CustomerId_1306,0.0
cat__CustomerId_CustomerId_1307,0.0
cat__CustomerId_CustomerId_1308,0.0
cat__CustomerId_CustomerId_1310,0.0
cat__CustomerId_CustomerId_1311,0.0
cat__CustomerId_CustomerId_1312,0.0
cat__CustomerId_CustomerId_1313,0.0
cat__CustomerId_CustomerId_1316,0.0
cat__CustomerId_CustomerId_1317,0.0
cat__CustomerId_CustomerId_1318,0.0
cat__CustomerId_CustomerId_1321,0.0
cat__CustomerId_CustomerId_1322,0.0
cat__CustomerId_CustomerId_1323,0.0
cat__CustomerId_CustomerId_1324,0.0
cat__CustomerId_CustomerId_1326,0.0
cat__CustomerId_CustomerId_1329,0.0
cat__CustomerId_CustomerId_1330,0.0
cat__CustomerId_CustomerId_1332,0.0
cat__CustomerId_CustomerId_1335,0.0
cat__CustomerId_CustomerId_1338,0.0
cat__CustomerId_CustomerId_1339,0.0
cat__CustomerId_CustomerId_1343,0.0
cat__CustomerId_CustomerId_1349,0.0
cat__CustomerId_CustomerId_1351,0.0
cat__CustomerId_CustomerId_1353,0.0
cat__CustomerId_CustomerId_1355,0.0
cat__CustomerId_CustomerId_1356,0.0
cat__CustomerId_CustomerId_1357,0.0
cat__CustomerId_CustomerId_1358,0.0
cat__CustomerId_CustomerId_1359,0.0
cat__CustomerId_CustomerId_1360,0.0
cat__CustomerId_CustomerId_1361,0.0
cat__CustomerId_CustomerId_1363,0.0
cat__CustomerId_CustomerId_1365,0.0
cat__CustomerId_CustomerId_1366,0.0
cat__CustomerId_CustomerId_1367,0.0
cat__CustomerId_CustomerId_1370,0.0
cat__CustomerId_CustomerId_1372,0.0
cat__CustomerId_CustomerId_1373,0.0
cat__CustomerId_CustomerId_1375,0.0
cat__CustomerId_CustomerId_1376,0.0
cat__CustomerId_CustomerId_1377,0.0
cat__CustomerId_CustomerId_1379,0.0
cat__CustomerId_CustomerId_1381,0.0
cat__CustomerId_CustomerId_1382,0.0
cat__CustomerId_CustomerId_1384,0.0
cat__CustomerId_CustomerId_1385,0.0
cat__CustomerId_CustomerId_1386,0.0
cat__CustomerId_CustomerId_1387,0.0
cat__CustomerId_CustomerId_1389,0.0
cat__CustomerId_CustomerId_1390,0.0
cat__CustomerId_CustomerId_1392,0.0
cat__CustomerId_CustomerId_1396,0.0
cat__CustomerId_CustomerId_1397,0.0
cat__CustomerId_CustomerId_1398,0.0
cat__CustomerId_CustomerId_14,0.0
cat__CustomerId_CustomerId_1400,0.0
cat__CustomerId_CustomerId_1402,0.0
cat__CustomerId_CustomerId_1406,0.0
cat__CustomerId_CustomerId_1407,0.0
cat__CustomerId_CustomerId_1408,0.0
cat__CustomerId_CustomerId_1409,0.0
cat__CustomerId_CustomerId_1410,0.0
cat__CustomerId_CustomerId_1411,0.0
cat__CustomerId_CustomerId_1413,0.0
cat__CustomerId_CustomerId_1414,0.0
cat__CustomerId_CustomerId_1415,0.0
cat__CustomerId_CustomerId_1417,0.0
cat__CustomerId_CustomerId_1418,0.0
cat__CustomerId_CustomerId_1419,0.0
cat__CustomerId_CustomerId_1420,0.0
cat__CustomerId_CustomerId_1421,0.0
cat__CustomerId_CustomerId_1422,0.0
cat__CustomerId_CustomerId_1424,0.0
cat__CustomerId_CustomerId_1425,0.0
cat__CustomerId_CustomerId_1426,0.0
cat__CustomerId_CustomerId_1427,0.0
cat__CustomerId_CustomerId_1429,0.0
cat__CustomerId_CustomerId_1431,0.0
cat__CustomerId_CustomerId_1435,0.0
cat__CustomerId_CustomerId_1436,0.0
cat__CustomerId_CustomerId_1437,0.0
cat__CustomerId_CustomerId_1439,0.0
cat__CustomerId_CustomerId_1440,0.0
cat__CustomerId_CustomerId_1441,0.0
cat__CustomerId_CustomerId_1442,0.0
cat__CustomerId_CustomerId_1443,0.0
cat__CustomerId_CustomerId_1444,0.0
cat__CustomerId_CustomerId_1445,0.0
cat__CustomerId_CustomerId_1447,0.0
cat__CustomerId_CustomerId_1449,0.0
cat__CustomerId_CustomerId_1450,0.0
cat__CustomerId_CustomerId_1451,0.0
cat__CustomerId_CustomerId_1452,0.0
cat__CustomerId_CustomerId_1453,0.0
cat__CustomerId_CustomerId_1454,0.0
cat__CustomerId_CustomerId_1455,0.0
cat__CustomerId_CustomerId_1458,0.0
cat__CustomerId_CustomerId_1461,0.0
cat__CustomerId_CustomerId_1464,0.0
cat__CustomerId_CustomerId_1466,0.0
cat__CustomerId_CustomerId_1467,0.0
cat__CustomerId_CustomerId_1468,0.0
cat__CustomerId_CustomerId_1472,0.0
cat__CustomerId_CustomerId_1474,0.0
cat__CustomerId_CustomerId_1475,0.0
cat__CustomerId_CustomerId_1477,0.0
cat__CustomerId_CustomerId_1478,0.0
cat__CustomerId_CustomerId_1479,0.0
cat__CustomerId_CustomerId_1480,0.0
cat__CustomerId_CustomerId_1481,0.0
cat__CustomerId_CustomerId_1482,0.0
cat__CustomerId_CustomerId_1483,0.0
cat__CustomerId_CustomerId_1485,0.0
cat__CustomerId_CustomerId_1486,0.0
cat__CustomerId_CustomerId_1488,0.0
cat__CustomerId_CustomerId_1492,0.0
cat__CustomerId_CustomerId_1494,0.0
cat__CustomerId_CustomerId_1495,0.0
cat__CustomerId_CustomerId_1496,0.0
cat__CustomerId_CustomerId_1498,0.0
cat__CustomerId_CustomerId_1499,0.0
cat__CustomerId_CustomerId_15,0.0
cat__CustomerId_CustomerId_1502,0.0
cat__CustomerId_CustomerId_1503,0.0
cat__CustomerId_CustomerId_1505,0.0
cat__CustomerId_CustomerId_1506,0.0
cat__CustomerId_CustomerId_1507,0.0
cat__CustomerId_CustomerId_1508,0.0
cat__CustomerId_CustomerId_1509,0.0
cat__CustomerId_CustomerId_1511,0.0
cat__CustomerId_CustomerId_1512,0.0
cat__CustomerId_CustomerId_1514,0.0
cat__CustomerId_CustomerId_1516,0.0
cat__CustomerId_CustomerId_1517,0.0
cat__CustomerId_CustomerId_1518,0.0
cat__CustomerId_CustomerId_1521,0.0
cat__CustomerId_CustomerId_1523,0.0
cat__CustomerId_CustomerId_1524,0.0
cat__CustomerId_CustomerId_1525,0.0
cat__CustomerId_CustomerId_1526,0.0
cat__CustomerId_CustomerId_1529,0.0
cat__CustomerId_CustomerId_1531,0.0
cat__CustomerId_CustomerId_1532,0.0
cat__CustomerId_CustomerId_1533,0.0
cat__CustomerId_CustomerId_1537,0.0
cat__CustomerId_CustomerId_1538,0.0
cat__CustomerId_CustomerId_1540,0.0
cat__CustomerId_CustomerId_1541,0.0
cat__CustomerId_CustomerId_1542,0.0
cat__CustomerId_CustomerId_1543,0.0
cat__CustomerId_CustomerId_1545,0.0
cat__CustomerId_CustomerId_1546,0.0
cat__CustomerId_CustomerId_1547,0.0
cat__CustomerId_CustomerId_1550,0.0
cat__CustomerId_CustomerId_1554,0.0
cat__CustomerId_CustomerId_1557,0.0
cat__CustomerId_CustomerId_1561,0.0
cat__CustomerId_CustomerId_1562,0.0
cat__CustomerId_CustomerId_1564,0.0
cat__CustomerId_CustomerId_1565,0.0
cat__CustomerId_CustomerId_1567,0.0
cat__CustomerId_CustomerId_1568,0.0
cat__CustomerId_CustomerId_1570,0.0
cat__CustomerId_CustomerId_1571,0.0
cat__CustomerId_CustomerId_1572,0.0
cat__CustomerId_CustomerId_1573,0.0
cat__CustomerId_CustomerId_1576,0.0
cat__CustomerId_CustomerId_1577,0.0
cat__CustomerId_CustomerId_1578,0.0
cat__CustomerId_CustomerId_1579,0.0
cat__CustomerId_CustomerId_1580,0.00016457505719042408
cat__CustomerId_CustomerId_1581,0.0
cat__CustomerId_CustomerId_1583,0.0
cat__CustomerId_CustomerId_1587,0.0
cat__CustomerId_CustomerId_1588,0.0
cat__CustomerId_CustomerId_1591,0.0
cat__CustomerId_CustomerId_1593,0.0
cat__CustomerId_CustomerId_1594,0.0
cat__CustomerId_CustomerId_1595,0.0
cat__CustomerId_CustomerId_1597,0.0
cat__CustomerId_CustomerId_1599,0.0
cat__CustomerId_CustomerId_1601,0.0
cat__CustomerId_CustomerId_1602,0.0
cat__CustomerId_CustomerId_1608,0.0
cat__CustomerId_CustomerId_1610,0.0
cat__CustomerId_CustomerId_1611,0.0
cat__CustomerId_CustomerId_1612,0.0
cat__CustomerId_CustomerId_1613,0.0
cat__CustomerId_CustomerId_1614,0.0
cat__CustomerId_CustomerId_1617,0.0
cat__CustomerId_CustomerId_1618,0.0
cat__CustomerId_CustomerId_1619,0.0
cat__CustomerId_CustomerId_1620,0.0
cat__CustomerId_CustomerId_1621,0.0
cat__CustomerId_CustomerId_1623,0.0
cat__CustomerId_CustomerId_1624,0.0
cat__CustomerId_CustomerId_1625,0.0
cat__CustomerId_CustomerId_1626,0.0
cat__CustomerId_CustomerId_1627,0.0
cat__CustomerId_CustomerId_1629,0.0
cat__CustomerId_CustomerId_1634,0.0
cat__CustomerId_CustomerId_1635,0.0
cat__CustomerId_CustomerId_1637,0.0
cat__CustomerId_CustomerId_1640,0.0
